1571325797.1, 651, 839, 553, 604, 676, 615, 562, 543
1571325797.14, 641, 839, 527, 614, 698, 605, 574, 543
1571325797.17, 629, 841, 506, 621, 717, 599, 588, 542
1571325797.21, 615, 842, 489, 624, 731, 596, 605, 540
1571325797.24, 600, 845, 477, 623, 741, 597, 623, 537
1571325797.28, 584, 848, 470, 619, 746, 601, 642, 533
1571325797.32, 568, 852, 468, 611, 747, 608, 662, 528
1571325797.35, 553, 856, 471, 601, 742, 618, 683, 522
1571325797.39, 539, 860, 480, 588, 732, 631, 701, 516
1571325797.43, 527, 863, 494, 574, 717, 645, 717, 511
1571325797.46, 520, 865, 513, 559, 698, 660, 728, 507
1571325797.5, 517, 866, 536, 542, 674, 677, 732, 506
1571325797.53, 560, 841, 537, 542, 673, 677, 682, 534
1571325797.57, 596, 819, 541, 543, 670, 677, 641, 558
1571325797.61, 629, 801, 547, 543, 665, 677, 605, 578
1571325797.64, 658, 786, 555, 543, 657, 677, 573, 595
1571325797.68, 683, 773, 565, 543, 648, 677, 545, 608
1571325797.72, 704, 765, 578, 543, 637, 678, 520, 617
1571325797.75, 722, 759, 593, 541, 625, 679, 500, 622
1571325797.79, 735, 758, 610, 539, 610, 681, 485, 624
1571325797.83, 743, 760, 629, 535, 595, 684, 474, 622
1571325797.86, 747, 765, 648, 531, 579, 687, 469, 617
1571325797.9, 746, 773, 669, 526, 563, 691, 468, 608
1571325797.93, 739, 784, 689, 520, 548, 695, 474, 597
1571325797.97, 728, 797, 707, 514, 535, 699, 484, 584
1571325798.01, 712, 812, 721, 509, 525, 702, 499, 569
1571325798.04, 691, 827, 730, 506, 518, 704, 519, 554
1571325798.08, 674, 839, 716, 515, 531, 696, 536, 542
1571325798.12, 672, 839, 669, 542, 571, 672, 538, 543
1571325798.15, 668, 839, 629, 565, 607, 651, 542, 543
1571325798.19, 663, 839, 595, 584, 638, 634, 549, 543
1571325798.23, 655, 839, 564, 599, 666, 619, 558, 543
1571325798.26, 645, 839, 537, 611, 690, 608, 569, 543
1571325798.3, 634, 840, 514, 619, 710, 601, 582, 542
1571325798.33, 620, 842, 495, 623, 726, 597, 598, 541
1571325798.37, 606, 844, 481, 624, 738, 596, 616, 538
1571325798.41, 590, 847, 472, 621, 745, 599, 635, 534
1571325798.44, 574, 850, 468, 615, 747, 605, 655, 530
1571325798.48, 558, 854, 469, 605, 744, 614, 675, 524
1571325798.52, 544, 858, 476, 593, 736, 626, 694, 518
1571325798.55, 531, 862, 488, 580, 724, 639, 712, 513
1571325798.59, 522, 865, 505, 565, 706, 654, 725, 508
1571325798.63, 518, 866, 527, 549, 684, 670, 732, 506
1571325798.66, 544, 850, 537, 542, 674, 677, 700, 524
1571325798.7, 583, 827, 539, 543, 671, 677, 656, 550
1571325798.73, 617, 808, 544, 543, 667, 677, 618, 571
1571325798.77, 647, 791, 551, 543, 660, 677, 585, 589
1571325798.81, 674, 778, 561, 543, 652, 677, 555, 603
1571325798.84, 696, 768, 573, 543, 642, 677, 529, 614
